,user,text,favorite_count,retweet_count,created_at
133,FutSheriff,"🚨Alisson🇧🇷 is coming as TOTS card!

Not sure yet if is Moments/SBC/OBJ, but he is coming🔥

Make sure to follow @FutSheriff and @Criminal__x 

💰 If you want to make coins &amp; learn the market 📈join my Trading group with @MitchTrading (link on description)

💸🤑  If you want to… https://t.co/mxumESQnEd https://t.co/n0NhEhJucX",7124,160,2023-05-03 19:13:37+00:00
134,FutSheriff,inject it. https://t.co/vcWyP5dF4A,2804,38,2023-05-03 18:58:08+00:00
135,FutSheriff,"🚨Havertz is coming as FLASHBACK TOTS SBC🔥

Stats are prediction ✍🏻

Make sure to follow @FutSheriff &amp; @Criminal__x ❤️

#fifa23 https://t.co/CnIxOZpVw9 https://t.co/1sSCqEiY8z",10867,249,2023-05-03 18:57:19+00:00
136,FutSheriff,@VOXI_UK Haaland,263,0,2023-05-03 15:29:32+00:00
137,FutSheriff,@Doumbia_FUT doumbia fut https://t.co/tTmPXDvZbL,70,1,2023-05-02 18:26:17+00:00
138,FutSheriff,"🚨ASM🇫🇷 is coming as TOTS MOMENTS 🔥

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x 🔥

💰 If you want to make coins &amp; learn the market 📈join our Trading group with @MitchTrading and @ImADuckQuackk (https://t.co/1Kh5QHgrbg)

#fifa23 #fifacoins… https://t.co/taLyi46AgP https://t.co/xeF0oywI6g",11795,283,2023-05-02 18:16:57+00:00
139,FutSheriff,"Limited spots available!

https://t.co/1Kh5QHgrbg

TOTS PREMIER LEAGUE 💰📈 https://t.co/BTH4NqNMr6",150,1,2023-05-02 14:55:52+00:00
140,FutSheriff,@DannyAaronsFUT Happy Birthday 🎉,368,2,2023-05-02 11:06:20+00:00
141,FutSheriff,"🚨Chukwueze🇳🇬 is added to come as SBC/OBJ during TOTS🔥

Stats are prediction!

Make sure to follow @FutSheriff and @Criminal__x !

#fifa23 https://t.co/pjAgBAPySw",6042,113,2023-05-01 21:27:57+00:00
142,FutSheriff,"Preparation for TOTS PL😍

If you want to buy/sell your coins, make sure to use creator code “Sheriff” for more! https://t.co/0ychd02CaF",252,5,2023-05-01 19:48:56+00:00
143,FutSheriff,"🚨Watkins is coming as SBC/OBJ during Team of The Season!

Stats are prediction ✍🏻

Make sure to follow @FutSheriff and @Criminal__x ❤️

#fifa23 https://t.co/SSYuzjrgbL",9675,252,2023-05-01 19:45:18+00:00
144,FutSheriff,"that’s true, dm @FUTCoinShop to redeem 1M! https://t.co/eNFyLbkerp",213,8,2023-05-01 14:09:34+00:00
145,FutSheriff,"@nadeemufc21 dm @FUTCoinShop for 1M mate, congrats!",1,0,2023-05-01 14:06:05+00:00
146,FutSheriff,"was supposed to be 3 winners so i still need to choose more 2

drop a like and comment why you should be the winner https://t.co/Hi5tQQ7END",1823,179,2023-05-01 09:34:21+00:00
147,FutSheriff,"And the winner is

@JMcFly_915 !

Congrats!!

Please DM @FUTCoinShop to redeem your prize! https://t.co/L91JE6ySl8 https://t.co/bhoASkANEp",249,32,2023-04-30 22:50:16+00:00
148,FutSheriff,"@Kingsixfive @Sorare @ni2las welcome to twitter my friend, that’s how they are haha",42,0,2023-04-30 18:47:46+00:00
